Venue,Latitude,Longitude,Category,Id
страусиная ферма,47.171342,38.750199,Nature Preserve,559a8ecb498e4caa7b138ce4
"Мариупольское шоссе, 20я аллея",47.2259190821179,38.85601099336819,Road,5377624f498eb186dae51062
автоцентр лада Таганрог,47.209925350897834,38.850315308581045,Auto Dealership,500e63cee4b0e6ec475099e2
Мариупольское кольцо,47.21244,38.768657,Road,5207f02411d29a56482aca93
Мечта,47.187977,38.869792,Miscellaneous Shop,5226ef4f11d2368118ecaae4
авторынок,47.22077941894531,38.83501434326172,Auto Dealership,504c2dc6e4b0c450c2b5fea2
Остров Красоты,47.224114,38.858555,Salon / Barbershop,52875e4d498e762165a7bd64
Пиффко,47.21717,38.851993,Convenience Store,523f144a11d2e6f79c9e631b
Империя стиля,47.217496,38.850022,Salon / Barbershop,572dc48a498e2ece22a4fae5
Кафе Абсолют,47.2419376471142,38.81314212058606,Restaurant,50d73ef4e4b0ce6f6b372849
Боцмановская рублевка,47.173052,38.77119,Housing Development,53a3ed8b498ec347d3061148
"пр. Иорданова, 10",47.222740173339844,38.851173400878906,Residential Building (Apartment / Condo),51c98877498e6c80ad66df8a
Деревня Дураков,47.22997206126398,38.801853458515,Residential Building (Apartment / Condo),5288b9ec498e932773fd6768
Пер. Малый Садовый,47.184644,38.828985,Residential Building (Apartment / Condo),5231826111d2052fb0b62932
"Жилой многоквартирный дом (улица Чехова, 346/2)",47.21830017213369,38.8506817817688,Residential Building (Apartment / Condo),50ebebf1e4b0d95fa73e3223
Ростов-фарм,47.219400512766185,38.862740993499756,Pharmacy,4f367090e4b0f4cfdd775aef
Пятерочка,47.22481130449729,38.842664518320696,Department Store,51a0a0af498e6dbb39883e08
"Столовая ""Дом""",47.211308,38.867504,Cafeteria,59887b2d2a7ab67669efea05
Подворье,47.228725,38.843296,Bath House,57e6c70d498eab3c760715de
"Банк ""Открытие""",47.219644,38.862589,Bank,549d56d6498e6de3ba43f87a
Остановка «Простоквашино»,47.217928528748125,38.85531663894653,Bus Stop,55803110498eca6e4e3a152f
blonde's villa,47.22226911123085,38.80961481520359,Trailer Park,53878a6b498e7a14c98d08da
Лагерь беженцев,47.16521008851876,38.735609886565484,Trailer Park,53a6b6d5498e7d48288d6673
Бедуин,47.220925624120426,38.8607655490242,Eastern European Restaurant,5465d64f498eac74bd233885
Park Astor,47.22056244457865,38.8549183563677,Restaurant,511a8363e4b03acfa006e16d
Глинодобывающий Карьер,47.23079237880611,38.81315267212804,Field,5119eb78e4b000378837611b
Дк Ленина,47.18326,38.84336,Public Art,523c17b811d2984d1a7c839e
Зеленый театр,47.165791,38.740334,Concert Hall,53c6a847498ea618b36c5add
Драг гонки,47.17781411145436,38.72414658525858,Racetrack,52754b50498ea7e43dfd549d
Донское мясо,47.21828559793235,38.85864257812499,Butcher,4f40de68e4b0740e7b2c12ba
центр обувь,47.22274680511682,38.85721481461797,Shoe Store,51e065be498ef75e1dcbb50b
Балаган,47.231568180692854,38.80934003344641,Other Great Outdoors,5157dcc3e4b01d0cc96413d0
